image_id,klass,source,source_url,orig_path,orig_filename,width,height,added_at,phash,cropped_path,crop_method,crop_info
5c157ab6250368ab3e9947b4a07614644f8e8794,lager,bing,,data/raw/bing/lager/lager_beer_in_glass_at_bar_-bottle_-can_-logo_-mockup_-illustration/000026.jpg,000026.jpg,1000,667,2025-10-04T18:00:21Z,cb5be8243036a6e7,data/smart_cropped/5c157ab6250368ab3e9947b4a07614644f8e8794.jpg,detr_object_crop,"{""method"": ""detr_object_crop"", ""label"": ""cup"", ""score"": 0.9987687468528748, ""box"": [379, 49, 699, 636]}"
f5919fa1605f852dcc8b4d80ac4dc1376c57a8e7,lager,bing,,data/raw/bing/lager/lager_beer_in_glass_at_bar_-bottle_-can_-logo_-mockup_-illustration/000032.jpg,000032.jpg,800,533,2025-10-04T18:00:21Z,e69cc99c89939933,data/smart_cropped/f5919fa1605f852dcc8b4d80ac4dc1376c57a8e7.jpg,center_square_fallback,"{""method"": ""center_square_fallback"", ""label"": null, ""score"": null, ""box"": [133, 0, 666, 533]}"
8960123252d5bbd4c251a3d452e955553701228a,lager,bing,,data/raw/bing/lager/lager_beer_in_glass_at_bar_-bottle_-can_-logo_-mockup_-illustration/000033.jpg,000033.jpg,1000,667,2025-10-04T18:00:21Z,e499cb9999629a66,data/smart_cropped/8960123252d5bbd4c251a3d452e955553701228a.jpg,detr_object_crop,"{""method"": ""detr_object_crop"", ""label"": ""cup"", ""score"": 0.8997564911842346, ""box"": [329, 83, 730, 667]}"
a50a5b43662152fcd023af3e1600abe6bdf3c17d,lager,bing,,data/raw/bing/lager/lager_beer_in_glass_at_bar_-bottle_-can_-logo_-mockup_-illustration/000019.jpg,000019.jpg,1300,1040,2025-10-04T18:00:21Z,adf852842ec37d8a,data/smart_cropped/a50a5b43662152fcd023af3e1600abe6bdf3c17d.jpg,detr_object_crop,"{""method"": ""detr_object_crop"", ""label"": ""cup"", ""score"": 0.9821876287460327, ""box"": [455, 0, 1158, 994]}"
0b56d01b6d13c3e2361719466d985296721e4aa8,lager,bing,,data/raw/bing/lager/lager_beer_in_glass_at_bar_-bottle_-can_-logo_-mockup_-illustration/000031.jpg,000031.jpg,1000,667,2025-10-04T18:00:21Z,b0c6ce36c9999999,data/smart_cropped/0b56d01b6d13c3e2361719466d985296721e4aa8.jpg,center_square_fallback,"{""method"": ""center_square_fallback"", ""label"": null, ""score"": null, ""box"": [166, 0, 833, 667]}"
0fbf394be675111ac5d0872e2b0df344d2bf9c85,lager,bing,,data/raw/bing/lager/lager_beer_in_glass_at_bar_-bottle_-can_-logo_-mockup_-illustration/000025.jpg,000025.jpg,1067,1690,2025-10-04T18:00:21Z,e5ed58961a93119e,data/smart_cropped/0fbf394be675111ac5d0872e2b0df344d2bf9c85.jpg,detr_object_crop,"{""method"": ""detr_object_crop"", ""label"": ""cup"", ""score"": 0.8574167490005493, ""box"": [223, 115, 852, 1445]}"
b4d072ae6a09f3dd82bbefe7fa853d31393e8101,lager,bing,,data/raw/bing/lager/lager_beer_in_glass_at_bar_-bottle_-can_-logo_-mockup_-illustration/000024.jpg,000024.jpg,866,1390,2025-10-04T18:00:21Z,f48d58835bb252b9,data/smart_cropped/b4d072ae6a09f3dd82bbefe7fa853d31393e8101.jpg,center_square_fallback,"{""method"": ""center_square_fallback"", ""label"": null, ""score"": null, ""box"": [0, 262, 866, 1128]}"
11d73ed1b1f720421c36e904417d53c76b151272,lager,bing,,data/raw/bing/lager/lager_beer_in_glass_at_bar_-bottle_-can_-logo_-mockup_-illustration/000030.jpg,000030.jpg,667,1000,2025-10-04T18:00:21Z,ed6f96c792189238,data/smart_cropped/11d73ed1b1f720421c36e904417d53c76b151272.jpg,center_square_fallback,"{""method"": ""center_square_fallback"", ""label"": null, ""score"": null, ""box"": [0, 166, 667, 833]}"
232769fc663db16c9055a87cc93d3ac2ac5202d6,lager,bing,,data/raw/bing/lager/lager_beer_in_glass_at_bar_-bottle_-can_-logo_-mockup_-illustration/000018.jpg,000018.jpg,942,1390,2025-10-04T18:00:21Z,d3cb4c7534890f87,data/smart_cropped/232769fc663db16c9055a87cc93d3ac2ac5202d6.jpg,detr_object_crop,"{""method"": ""detr_object_crop"", ""label"": ""cup"", ""score"": 0.9991756081581116, ""box"": [103, 123, 809, 1210]}"
47f2517445a2231d3429fa142017c302d22ce579,lager,bing,,data/raw/bing/lager/lager_beer_in_glass_at_bar_-bottle_-can_-logo_-mockup_-illustration/000034.jpg,000034.jpg,1000,667,2025-10-04T18:00:21Z,9496e5b115e11cf5,data/smart_cropped/47f2517445a2231d3429fa142017c302d22ce579.jpg,detr_object_crop,"{""method"": ""detr_object_crop"", ""label"": ""cup"", ""score"": 0.992845356464386, ""box"": [442, 55, 839, 618]}"
82c11d77c156eb17654562cb359d58ba24dda19b,lager,bing,,data/raw/bing/lager/lager_beer_in_glass_at_bar_-bottle_-can_-logo_-mockup_-illustration/000020.jpg,000020.jpg,866,1390,2025-10-04T18:00:21Z,8e8f65653139b296,data/smart_cropped/82c11d77c156eb17654562cb359d58ba24dda19b.jpg,detr_object_crop,"{""method"": ""detr_object_crop"", ""label"": ""cup"", ""score"": 0.9982972741127014, ""box"": [147, 117, 761, 1066]}"
adc5d0bb783efe98fc77dff499059ef150ed9ef0,lager,bing,,data/raw/bing/lager/lager_beer_in_glass_at_bar_-bottle_-can_-logo_-mockup_-illustration/000008.jpg,000008.jpg,1300,941,2025-10-04T18:00:21Z,ac68739736e25385,data/smart_cropped/adc5d0bb783efe98fc77dff499059ef150ed9ef0.jpg,detr_object_crop,"{""method"": ""detr_object_crop"", ""label"": ""wine glass"", ""score"": 0.9984795451164246, ""box"": [422, 30, 838, 884]}"
46a21a5291dc37a37abe8e5b1354dd7ff0268ab0,lager,bing,,data/raw/bing/lager/lager_beer_in_glass_at_bar_-bottle_-can_-logo_-mockup_-illustration/000021.jpg,000021.jpg,853,1390,2025-10-04T18:00:21Z,c6cb3897391a3726,data/smart_cropped/46a21a5291dc37a37abe8e5b1354dd7ff0268ab0.jpg,detr_object_crop,"{""method"": ""detr_object_crop"", ""label"": ""wine glass"", ""score"": 0.9988731741905212, ""box"": [51, 397, 423, 1097]}"
aab1d9b41dba3e55b539afb5c54ef37482d54e07,lager,bing,,data/raw/bing/lager/lager_beer_in_glass_at_bar_-bottle_-can_-logo_-mockup_-illustration/000035.jpg,000035.jpg,1300,956,2025-10-04T18:00:21Z,901b3bc66bdc4ce2,data/smart_cropped/aab1d9b41dba3e55b539afb5c54ef37482d54e07.jpg,detr_object_crop,"{""method"": ""detr_object_crop"", ""label"": ""cup"", ""score"": 0.9984329342842102, ""box"": [0, 413, 328, 789]}"
e720b60e36ff77d4d3a8d095fb2fac071caae76e,lager,bing,,data/raw/bing/lager/lager_beer_in_glass_at_bar_-bottle_-can_-logo_-mockup_-illustration/000023.jpg,000023.jpg,1500,1500,2025-10-04T18:00:21Z,d8d7d7180147b768,data/smart_cropped/e720b60e36ff77d4d3a8d095fb2fac071caae76e.jpg,detr_object_crop,"{""method"": ""detr_object_crop"", ""label"": ""wine glass"", ""score"": 0.8748945593833923, ""box"": [777, 274, 1355, 1320]}"
a57ed5db6f2e9dadc600d4dde4cf5abe8ac8e4b5,lager,bing,,data/raw/bing/lager/lager_beer_in_glass_at_bar_-bottle_-can_-logo_-mockup_-illustration/000037.jpg,000037.jpg,1000,667,2025-10-04T18:00:21Z,ede7929b92300b69,data/smart_cropped/a57ed5db6f2e9dadc600d4dde4cf5abe8ac8e4b5.jpg,center_square_fallback,"{""method"": ""center_square_fallback"", ""label"": null, ""score"": null, ""box"": [166, 0, 833, 667]}"
dedc6e93b932d7481b933c7eb30386f26944f5a4,lager,bing,,data/raw/bing/lager/lager_beer_in_glass_at_bar_-bottle_-can_-logo_-mockup_-illustration/000036.jpg,000036.jpg,1000,667,2025-10-04T18:00:21Z,b143c7ce4c384bcb,data/smart_cropped/dedc6e93b932d7481b933c7eb30386f26944f5a4.jpg,center_square_fallback,"{""method"": ""center_square_fallback"", ""label"": null, ""score"": null, ""box"": [166, 0, 833, 667]}"
d2a4c8a43e1f91be0e15ed13e787b3da9d8a6032,lager,bing,,data/raw/bing/lager/lager_beer_in_glass_at_bar_-bottle_-can_-logo_-mockup_-illustration/000022.jpg,000022.jpg,1000,667,2025-10-04T18:00:21Z,b3b3ce92cc4c9c4c,data/smart_cropped/d2a4c8a43e1f91be0e15ed13e787b3da9d8a6032.jpg,detr_object_crop,"{""method"": ""detr_object_crop"", ""label"": ""surfboard"", ""score"": 0.8178747296333313, ""box"": [285, 148, 469, 578]}"
f46feac1538f963c4e7c4a8accc8c9a1eb7503d2,lager,bing,,data/raw/bing/lager/lager_beer_in_glass_at_bar_-bottle_-can_-logo_-mockup_-illustration/000079.jpg,000079.jpg,1024,1024,2025-10-04T18:00:21Z,a33878803e6fe1dc,data/smart_cropped/f46feac1538f963c4e7c4a8accc8c9a1eb7503d2.jpg,detr_object_crop,"{""method"": ""detr_object_crop"", ""label"": ""bottle"", ""score"": 0.9936596751213074, ""box"": [0, 0, 431, 739]}"
919ef0552dd2689e8d307edc70773766fcb16e8e,lager,bing,,data/raw/bing/lager/lager_beer_in_glass_at_bar_-bottle_-can_-logo_-mockup_-illustration/000045.jpg,000045.jpg,1000,667,2025-10-04T18:00:21Z,b3cecc31cc3033ce,data/smart_cropped/919ef0552dd2689e8d307edc70773766fcb16e8e.jpg,detr_object_crop,"{""method"": ""detr_object_crop"", ""label"": ""cup"", ""score"": 0.9171035885810852, ""box"": [285, 72, 681, 585]}"
6e8856802a4603a93ed1295dda2f2651a4512d5a,lager,bing,,data/raw/bing/lager/lager_beer_in_glass_at_bar_-bottle_-can_-logo_-mockup_-illustration/000051.jpg,000051.jpg,1200,1690,2025-10-04T18:00:21Z,b6c1c9be0ae060bf,data/smart_cropped/6e8856802a4603a93ed1295dda2f2651a4512d5a.jpg,detr_object_crop,"{""method"": ""detr_object_crop"", ""label"": ""vase"", ""score"": 0.9005770087242126, ""box"": [31, 85, 1120, 1584]}"
