image_id,klass,source,source_url,orig_path,orig_filename,width,height,added_at,phash,cropped_path,crop_method,crop_info,aug_id,aug_source,aug_path,aug_params
5c157ab6250368ab3e9947b4a07614644f8e8794,lager,bing,,data/raw/bing/lager/lager_beer_in_glass_at_bar_-bottle_-can_-logo_-mockup_-illustration/000026.jpg,000026.jpg,1000,667,2025-10-04T18:00:21Z,cb5be8243036a6e7,data/smart_cropped/5c157ab6250368ab3e9947b4a07614644f8e8794.jpg,detr_object_crop,"{""method"": ""detr_object_crop"", ""label"": ""cup"", ""score"": 0.9987687468528748, ""box"": [379, 49, 699, 636]}",5c157ab6250368ab3e9947b4a07614644f8e8794_aug1,data/smart_cropped/5c157ab6250368ab3e9947b4a07614644f8e8794.jpg,data/augmented/5c157ab6250368ab3e9947b4a07614644f8e8794_aug1_b6b21685.jpg,"{""transform_profile"": ""beer_bottle_default_v1"", ""version"": ""1.0"", ""index"": 1}"
5c157ab6250368ab3e9947b4a07614644f8e8794,lager,bing,,data/raw/bing/lager/lager_beer_in_glass_at_bar_-bottle_-can_-logo_-mockup_-illustration/000026.jpg,000026.jpg,1000,667,2025-10-04T18:00:21Z,cb5be8243036a6e7,data/smart_cropped/5c157ab6250368ab3e9947b4a07614644f8e8794.jpg,detr_object_crop,"{""method"": ""detr_object_crop"", ""label"": ""cup"", ""score"": 0.9987687468528748, ""box"": [379, 49, 699, 636]}",5c157ab6250368ab3e9947b4a07614644f8e8794_aug2,data/smart_cropped/5c157ab6250368ab3e9947b4a07614644f8e8794.jpg,data/augmented/5c157ab6250368ab3e9947b4a07614644f8e8794_aug2_8cbf26d0.jpg,"{""transform_profile"": ""beer_bottle_default_v1"", ""version"": ""1.0"", ""index"": 2}"
5c157ab6250368ab3e9947b4a07614644f8e8794,lager,bing,,data/raw/bing/lager/lager_beer_in_glass_at_bar_-bottle_-can_-logo_-mockup_-illustration/000026.jpg,000026.jpg,1000,667,2025-10-04T18:00:21Z,cb5be8243036a6e7,data/smart_cropped/5c157ab6250368ab3e9947b4a07614644f8e8794.jpg,detr_object_crop,"{""method"": ""detr_object_crop"", ""label"": ""cup"", ""score"": 0.9987687468528748, ""box"": [379, 49, 699, 636]}",5c157ab6250368ab3e9947b4a07614644f8e8794_aug3,data/smart_cropped/5c157ab6250368ab3e9947b4a07614644f8e8794.jpg,data/augmented/5c157ab6250368ab3e9947b4a07614644f8e8794_aug3_00fccd8e.jpg,"{""transform_profile"": ""beer_bottle_default_v1"", ""version"": ""1.0"", ""index"": 3}"
5c157ab6250368ab3e9947b4a07614644f8e8794,lager,bing,,data/raw/bing/lager/lager_beer_in_glass_at_bar_-bottle_-can_-logo_-mockup_-illustration/000026.jpg,000026.jpg,1000,667,2025-10-04T18:00:21Z,cb5be8243036a6e7,data/smart_cropped/5c157ab6250368ab3e9947b4a07614644f8e8794.jpg,detr_object_crop,"{""method"": ""detr_object_crop"", ""label"": ""cup"", ""score"": 0.9987687468528748, ""box"": [379, 49, 699, 636]}",5c157ab6250368ab3e9947b4a07614644f8e8794_aug4,data/smart_cropped/5c157ab6250368ab3e9947b4a07614644f8e8794.jpg,data/augmented/5c157ab6250368ab3e9947b4a07614644f8e8794_aug4_93ce1ce1.jpg,"{""transform_profile"": ""beer_bottle_default_v1"", ""version"": ""1.0"", ""index"": 4}"
f5919fa1605f852dcc8b4d80ac4dc1376c57a8e7,lager,bing,,data/raw/bing/lager/lager_beer_in_glass_at_bar_-bottle_-can_-logo_-mockup_-illustration/000032.jpg,000032.jpg,800,533,2025-10-04T18:00:21Z,e69cc99c89939933,data/smart_cropped/f5919fa1605f852dcc8b4d80ac4dc1376c57a8e7.jpg,center_square_fallback,"{""method"": ""center_square_fallback"", ""label"": null, ""score"": null, ""box"": [133, 0, 666, 533]}",f5919fa1605f852dcc8b4d80ac4dc1376c57a8e7_aug1,data/smart_cropped/f5919fa1605f852dcc8b4d80ac4dc1376c57a8e7.jpg,data/augmented/f5919fa1605f852dcc8b4d80ac4dc1376c57a8e7_aug1_1bb348e5.jpg,"{""transform_profile"": ""beer_bottle_default_v1"", ""version"": ""1.0"", ""index"": 1}"
f5919fa1605f852dcc8b4d80ac4dc1376c57a8e7,lager,bing,,data/raw/bing/lager/lager_beer_in_glass_at_bar_-bottle_-can_-logo_-mockup_-illustration/000032.jpg,000032.jpg,800,533,2025-10-04T18:00:21Z,e69cc99c89939933,data/smart_cropped/f5919fa1605f852dcc8b4d80ac4dc1376c57a8e7.jpg,center_square_fallback,"{""method"": ""center_square_fallback"", ""label"": null, ""score"": null, ""box"": [133, 0, 666, 533]}",f5919fa1605f852dcc8b4d80ac4dc1376c57a8e7_aug2,data/smart_cropped/f5919fa1605f852dcc8b4d80ac4dc1376c57a8e7.jpg,data/augmented/f5919fa1605f852dcc8b4d80ac4dc1376c57a8e7_aug2_e7dcd74b.jpg,"{""transform_profile"": ""beer_bottle_default_v1"", ""version"": ""1.0"", ""index"": 2}"
f5919fa1605f852dcc8b4d80ac4dc1376c57a8e7,lager,bing,,data/raw/bing/lager/lager_beer_in_glass_at_bar_-bottle_-can_-logo_-mockup_-illustration/000032.jpg,000032.jpg,800,533,2025-10-04T18:00:21Z,e69cc99c89939933,data/smart_cropped/f5919fa1605f852dcc8b4d80ac4dc1376c57a8e7.jpg,center_square_fallback,"{""method"": ""center_square_fallback"", ""label"": null, ""score"": null, ""box"": [133, 0, 666, 533]}",f5919fa1605f852dcc8b4d80ac4dc1376c57a8e7_aug3,data/smart_cropped/f5919fa1605f852dcc8b4d80ac4dc1376c57a8e7.jpg,data/augmented/f5919fa1605f852dcc8b4d80ac4dc1376c57a8e7_aug3_d6e85793.jpg,"{""transform_profile"": ""beer_bottle_default_v1"", ""version"": ""1.0"", ""index"": 3}"
f5919fa1605f852dcc8b4d80ac4dc1376c57a8e7,lager,bing,,data/raw/bing/lager/lager_beer_in_glass_at_bar_-bottle_-can_-logo_-mockup_-illustration/000032.jpg,000032.jpg,800,533,2025-10-04T18:00:21Z,e69cc99c89939933,data/smart_cropped/f5919fa1605f852dcc8b4d80ac4dc1376c57a8e7.jpg,center_square_fallback,"{""method"": ""center_square_fallback"", ""label"": null, ""score"": null, ""box"": [133, 0, 666, 533]}",f5919fa1605f852dcc8b4d80ac4dc1376c57a8e7_aug4,data/smart_cropped/f5919fa1605f852dcc8b4d80ac4dc1376c57a8e7.jpg,data/augmented/f5919fa1605f852dcc8b4d80ac4dc1376c57a8e7_aug4_200799fd.jpg,"{""transform_profile"": ""beer_bottle_default_v1"", ""version"": ""1.0"", ""index"": 4}"
8960123252d5bbd4c251a3d452e955553701228a,lager,bing,,data/raw/bing/lager/lager_beer_in_glass_at_bar_-bottle_-can_-logo_-mockup_-illustration/000033.jpg,000033.jpg,1000,667,2025-10-04T18:00:21Z,e499cb9999629a66,data/smart_cropped/8960123252d5bbd4c251a3d452e955553701228a.jpg,detr_object_crop,"{""method"": ""detr_object_crop"", ""label"": ""cup"", ""score"": 0.8997564911842346, ""box"": [329, 83, 730, 667]}",8960123252d5bbd4c251a3d452e955553701228a_aug1,data/smart_cropped/8960123252d5bbd4c251a3d452e955553701228a.jpg,data/augmented/8960123252d5bbd4c251a3d452e955553701228a_aug1_8075ca1d.jpg,"{""transform_profile"": ""beer_bottle_default_v1"", ""version"": ""1.0"", ""index"": 1}"
8960123252d5bbd4c251a3d452e955553701228a,lager,bing,,data/raw/bing/lager/lager_beer_in_glass_at_bar_-bottle_-can_-logo_-mockup_-illustration/000033.jpg,000033.jpg,1000,667,2025-10-04T18:00:21Z,e499cb9999629a66,data/smart_cropped/8960123252d5bbd4c251a3d452e955553701228a.jpg,detr_object_crop,"{""method"": ""detr_object_crop"", ""label"": ""cup"", ""score"": 0.8997564911842346, ""box"": [329, 83, 730, 667]}",8960123252d5bbd4c251a3d452e955553701228a_aug2,data/smart_cropped/8960123252d5bbd4c251a3d452e955553701228a.jpg,data/augmented/8960123252d5bbd4c251a3d452e955553701228a_aug2_83f280b8.jpg,"{""transform_profile"": ""beer_bottle_default_v1"", ""version"": ""1.0"", ""index"": 2}"
